SRN,frame#,ID,Class,X_min,Y_min,X_max,Y_max,Time,Speed
473,67,1,Car,1632,884,1892,1076,2.2333,36.48
474,67,2,Car,368,251,523,367,2.2333,6.18
475,67,3,Car,1192,439,1460,687,2.2333,9.47
476,67,4,Car,618,398,880,632,2.2333,18.22
477,67,6,Car,897,741,1202,1028,2.2333,16.59
478,67,9,Car,512,273,640,365,2.2333,7.46
479,67,11,Car,782,575,1043,826,2.2333,35.78
480,68,1,Car,1638,896,1886,1075,2.2667,49.21
481,68,2,Car,370,251,525,366,2.2667,10.34
482,68,3,Car,1202,446,1463,687,2.2667,44.6
483,68,4,Car,623,405,882,635,2.2667,32.03
484,68,6,Car,903,751,1208,1036,2.2667,42.58
485,68,9,Car,514,272,642,365,2.2667,10.17
486,68,11,Car,792,584,1051,834,2.2667,49.0
487,69,1,Car,1647,905,1883,1076,2.3,47.48
488,69,2,Car,372,251,528,367,2.3,8.4
489,69,3,Car,1209,451,1469,690,2.3,31.55
490,69,4,Car,626,410,884,641,2.3,22.0
491,69,6,Car,905,755,1219,1048,2.3,18.78
492,69,9,Car,517,272,644,364,2.3,12.29
493,69,11,Car,801,593,1063,843,2.3,46.68
494,70,2,Car,373,250,529,368,2.3333,3.99
495,70,3,Car,1215,457,1472,691,2.3333,32.97
496,70,4,Car,631,415,886,643,2.3333,25.4
497,70,6,Car,905,759,1225,1056,2.3333,14.3
498,70,9,Car,517,271,647,365,2.3333,2.88
499,70,11,Car,806,599,1068,848,2.3333,28.15
500,71,2,Car,374,251,532,369,2.3667,7.91
501,71,3,Car,1220,463,1476,693,2.3667,30.26
502,71,4,Car,635,418,888,647,2.3667,19.26
503,71,6,Car,909,770,1229,1067,2.3667,42.65
504,71,9,Car,518,268,652,365,2.3667,9.82
505,71,11,Car,810,606,1074,855,2.3667,30.92
506,72,2,Car,375,252,534,371,2.4,7.98
507,72,3,Car,1225,468,1486,699,2.4,28.04
508,72,4,Car,642,426,892,650,2.4,39.32
509,72,6,Car,918,784,1232,1073,2.4,60.01
510,72,9,Car,523,267,658,365,2.4,20.62
511,72,11,Car,807,615,1084,878,2.4,34.39
512,73,2,Car,376,253,535,372,2.4333,8.12
513,73,3,Car,1225,467,1499,708,2.4333,3.26
514,73,4,Car,646,429,896,654,2.4333,21.83
515,73,6,Car,923,791,1233,1073,2.4333,33.07
516,73,9,Car,527,268,658,364,2.4333,15.17
517,73,11,Car,808,616,1091,888,2.4333,8.33
518,74,2,Car,378,253,536,371,2.4667,9.47
519,74,3,Car,1223,466,1511,720,2.4667,7.29
520,74,4,Car,652,433,901,656,2.4667,27.63
521,74,6,Car,930,801,1232,1074,2.4667,44.84
522,74,9,Car,529,267,661,364,2.4667,10.03
523,74,11,Car,820,624,1099,891,2.4667,51.75
524,75,2,Car,378,251,544,376,2.5,5.9
525,75,3,Car,1233,471,1523,729,2.5,39.01
526,75,4,Car,658,439,905,660,2.5,30.58
527,75,6,Car,945,814,1235,1072,2.5,70.94
528,75,9,Car,531,266,663,364,2.5,9.51
529,75,11,Car,828,628,1106,897,2.5,33.8
530,76,2,Car,381,253,543,375,2.5333,14.06
531,76,3,Car,1241,474,1530,734,2.5333,31.2
532,76,4,Car,660,442,911,666,2.5333,14.99
533,76,6,Car,952,822,1239,1078,2.5333,39.15
534,76,9,Car,533,265,666,364,2.5333,8.85
535,76,11,Car,833,634,1112,904,2.5333,30.47
536,77,2,Car,384,253,545,375,2.5667,10.9
537,77,3,Car,1249,480,1536,738,2.5667,36.61
538,77,4,Car,660,445,916,674,2.5667,12.36
539,77,9,Car,534,264,667,365,2.5667,6.8
540,78,2,Car,388,253,549,375,2.6,14.3
541,78,3,Car,1255,483,1542,743,2.6,27.56
542,78,4,Car,660,447,921,682,2.6,9.75
543,78,9,Car,537,264,669,364,2.6,13.26
544,78,11,Car,847,654,1113,914,2.6,13.26
545,79,2,Car,389,254,551,376,2.6333,7.15
546,79,3,Car,1261,488,1547,747,2.6333,28.46
547,79,4,Car,661,451,924,687,2.6333,18.08
548,79,9,Car,539,263,671,364,2.6333,7.15
549,79,11,Car,850,661,1114,920,2.6333,27.76
550,80,2,Car,393,255,554,376,2.6667,16.76
551,80,3,Car,1268,495,1555,753,2.6667,37.76
552,80,4,Car,664,455,928,692,2.6667,19.4
553,80,9,Car,541,263,672,363,2.6667,8.02
554,80,11,Car,861,672,1121,926,2.6667,57.75
555,80,14,Car,951,863,1267,1075,2.6667,57.75
556,81,2,Car,397,255,556,375,2.7,14.23
557,81,3,Car,1275,498,1569,762,2.7,29.05
558,81,4,Car,665,458,931,697,2.7,12.95
559,81,9,Car,544,262,674,363,2.7,10.62
560,81,11,Car,864,675,1135,941,2.7,18.88
561,81,14,Car,972,879,1261,1072,2.7,93.95
562,82,2,Car,399,255,560,376,2.7333,9.58
563,82,3,Car,1279,500,1578,769,2.7333,17.08
564,82,4,Car,665,462,934,704,2.7333,16.1
565,82,9,Car,546,262,677,363,2.7333,7.43
566,82,11,Car,864,679,1139,950,2.7333,16.24
567,82,14,Car,980,889,1253,1069,2.7333,44.7
568,83,2,Car,400,255,562,377,2.7667,3.99
569,83,3,Car,1282,505,1583,777,2.7667,21.17
570,83,4,Car,665,466,937,711,2.7667,14.44
571,83,9,Car,548,262,679,363,2.7667,7.43
572,83,11,Car,856,681,1154,980,2.7667,28.87
573,83,14,Car,986,901,1248,1071,2.7667,46.99
574,84,2,Car,403,256,566,378,2.8,14.3
575,84,3,Car,1290,511,1590,782,2.8,35.43
576,84,4,Car,666,468,944,722,2.8,10.9
577,84,9,Car,552,262,682,363,2.8,16.28
578,84,11,Car,852,683,1163,1001,2.8,14.89
579,84,14,Car,987,907,1252,1074,2.8,22.32
580,85,2,Car,404,256,566,377,2.8333,5.38
581,85,3,Car,1297,518,1592,785,2.8333,39.15
582,85,4,Car,668,469,950,730,2.8333,9.06
583,85,9,Car,556,263,684,362,2.8333,16.97
584,85,11,Car,858,692,1162,1006,2.8333,39.29
585,85,14,Car,991,912,1255,1073,2.8333,25.16
586,86,2,Car,408,256,570,377,2.8667,14.4
587,86,3,Car,1306,523,1604,793,2.8667,38.52
588,86,4,Car,669,469,957,738,2.8667,5.14
589,86,9,Car,559,263,687,362,2.8667,11.52
590,86,11,Car,869,703,1166,1011,2.8667,57.82
591,86,14,Car,997,923,1255,1076,2.8667,46.05
592,87,2,Car,410,255,574,377,2.9,9.96
593,87,3,Car,1302,518,1628,818,2.9,18.71
594,87,4,Car,674,472,964,744,2.9,22.11
595,87,9,Car,562,263,689,362,2.9,11.45
596,87,11,Car,877,719,1169,1020,2.9,63.51
597,87,14,Car,1006,937,1254,1076,2.9,62.16
598,88,2,Car,412,255,576,378,2.9333,9.3
599,88,3,Car,1302,517,1638,831,2.9333,1.21
600,88,4,Car,677,475,966,748,2.9333,16.97
601,88,9,Car,563,263,692,363,2.9333,5.97
602,88,11,Car,880,727,1171,1026,2.9333,31.69
603,88,14,Car,1012,945,1257,1075,2.9333,38.25
604,89,2,Car,412,255,581,381,2.9667,1.42
605,89,3,Car,1312,522,1645,836,2.9667,41.61
606,89,4,Car,683,483,969,752,2.9667,37.07
607,89,9,Car,564,263,695,365,2.9667,3.89
608,89,11,Car,892,729,1193,1038,2.9667,42.86
609,89,14,Car,1012,955,1257,1077,2.9667,34.95
610,90,2,Car,413,254,585,384,3.0,4.03
611,90,3,Car,1324,533,1648,840,3.0,59.76
612,90,4,Car,686,489,971,758,3.0,25.23
613,90,9,Car,566,262,697,365,3.0,8.33
614,90,11,Car,902,743,1196,1042,3.0,61.53
615,90,14,Car,1023,964,1250,1077,3.0,52.47
616,91,2,Car,417,256,586,383,3.0333,16.94
617,91,3,Car,1330,538,1652,843,3.0333,30.37
618,91,4,Car,689,494,972,762,3.0333,22.77
619,91,9,Car,567,262,700,365,3.0333,5.59
620,91,11,Car,904,747,1199,1045,3.0333,17.56
621,92,2,Car,420,257,590,384,3.0667,13.78
622,92,3,Car,1341,549,1655,846,3.0667,55.7
623,92,4,Car,692,499,978,769,3.0667,23.11
624,92,9,Car,570,263,698,363,3.0667,11.77
625,92,11,Car,915,759,1204,1048,3.0667,58.55
626,93,2,Car,424,257,594,385,3.1,14.96
627,93,3,Car,1351,561,1662,855,3.1,56.92
628,93,4,Car,694,503,981,777,3.1,18.85
629,93,9,Car,571,262,701,363,3.1,6.63
630,93,11,Car,920,767,1210,1056,3.1,35.4
631,94,2,Car,427,258,596,384,3.1333,11.59
632,94,3,Car,1363,571,1668,857,3.1333,54.94
633,94,4,Car,698,508,984,782,3.1333,23.95
634,94,9,Car,573,262,702,363,3.1333,8.92
635,95,2,Car,428,258,600,386,3.1667,5.52
636,95,3,Car,1374,577,1677,860,3.1667,45.05
637,95,4,Car,702,514,987,787,3.1667,26.65
638,95,9,Car,575,261,704,363,3.1667,9.58
639,95,11,Car,929,787,1218,1075,3.1667,9.58
640,96,2,Car,434,262,602,385,3.2,25.79
641,96,3,Car,1385,586,1683,864,3.2,51.82
642,96,4,Car,706,520,993,795,3.2,28.15
643,96,9,Car,577,261,705,362,3.2,9.34
644,96,11,Car,937,795,1224,1079,3.2,43.62
645,97,2,Car,435,263,603,385,3.2333,7.95
646,97,3,Car,1388,590,1691,872,3.2333,20.09
647,97,4,Car,705,525,998,807,3.2333,19.99
648,97,9,Car,579,260,705,359,3.2333,7.77
649,97,11,Car,945,805,1220,1075,3.2333,45.39
650,98,2,Car,435,264,607,387,3.2667,5.17
651,98,3,Car,1395,597,1703,882,3.2667,36.86
652,98,4,Car,703,530,1003,819,3.2667,18.15
653,98,9,Car,581,260,707,358,3.2667,8.68
654,98,11,Car,956,818,1226,1076,3.2667,61.57
655,99,2,Car,436,264,610,388,3.3,6.39
656,99,3,Car,1392,600,1722,906,3.3,16.14
657,99,4,Car,705,534,1009,830,3.3,19.37
658,99,9,Car,584,259,710,357,3.3,10.93
659,99,11,Car,964,831,1227,1075,3.3,57.33
660,100,2,Car,437,263,616,391,3.3333,6.04
661,100,3,Car,1394,604,1732,916,3.3333,19.16
662,100,4,Car,708,537,1015,836,3.3333,17.14
663,100,9,Car,586,259,712,358,3.3333,7.67
664,100,11,Car,970,842,1229,1075,3.3333,46.02
665,101,2,Car,438,262,620,394,3.3667,4.62
666,101,3,Car,1404,612,1741,923,3.3667,47.41
667,101,4,Car,715,545,1018,842,3.3667,37.97
668,101,9,Car,586,259,714,358,3.3667,2.15
669,101,11,Car,977,856,1229,1075,3.3667,55.08
670,102,2,Car,443,267,625,398,3.4,27.97
671,102,3,Car,1410,614,1754,933,3.4,23.63
672,102,4,Car,721,552,1022,850,3.4,34.98
673,102,9,Car,589,258,718,359,3.4,11.77
674,102,11,Car,982,873,1225,1074,3.4,61.85
675,103,2,Car,446,269,628,399,3.4333,15.2
676,103,3,Car,1415,615,1764,940,3.4333,20.37
677,103,4,Car,725,558,1023,854,3.4333,27.07
678,103,9,Car,588,256,725,364,3.4333,4.2
679,103,11,Car,988,881,1230,1074,3.4333,38.11
680,104,2,Car,449,270,629,399,3.4667,12.77
681,104,3,Car,1425,624,1772,946,3.4667,48.52
682,104,4,Car,728,567,1027,865,3.4667,34.29
683,104,9,Car,590,256,728,365,3.4667,9.02
684,104,11,Car,988,889,1231,1074,3.4667,29.26
685,105,2,Car,452,271,633,401,3.5,13.4
686,105,3,Car,1436,634,1782,957,3.5,53.17
687,105,4,Car,729,572,1032,876,3.5,21.07
688,105,9,Car,590,255,731,366,3.5,3.78
689,105,11,Car,989,900,1229,1073,3.5,40.71
690,106,2,Car,452,271,637,402,3.5333,3.26
691,106,3,Car,1442,642,1786,964,3.5333,36.82
692,106,4,Car,732,577,1033,881,3.5333,21.83
693,106,9,Car,592,255,731,366,3.5333,8.02
694,106,11,Car,995,911,1229,1071,3.5333,44.8
695,107,2,Car,452,270,642,405,3.5667,3.51
696,107,3,Car,1447,650,1790,971,3.5667,36.2
697,107,4,Car,741,589,1034,883,3.5667,54.45
698,107,9,Car,595,255,733,365,3.5667,12.63
699,107,11,Car,996,921,1230,1075,3.5667,38.18
700,108,2,Car,456,270,646,406,3.6,15.27
701,108,3,Car,1459,661,1802,977,3.6,58.83
702,108,4,Car,746,603,1039,895,3.6,52.75
703,108,9,Car,599,256,733,364,3.6,16.17
704,108,11,Car,1008,929,1243,1076,3.6,51.19
705,109,2,Car,458,271,649,407,3.6333,10.1
706,109,3,Car,1466,667,1809,981,3.6333,36.65
707,109,4,Car,746,607,1042,902,3.6333,15.31
708,109,9,Car,600,255,734,364,3.6333,6.35
709,109,11,Car,1012,936,1246,1075,3.6333,29.53
710,110,2,Car,462,272,654,409,3.6667,16.35
711,110,3,Car,1476,678,1822,990,3.6667,54.24
712,110,4,Car,746,612,1046,911,3.6667,19.92
713,110,9,Car,603,255,736,363,3.6667,11.52
714,110,11,Car,1013,944,1248,1076,3.6667,30.23
715,111,2,Car,466,271,661,411,3.7,15.2
716,111,3,Car,1487,687,1838,1001,3.7,52.75
717,111,4,Car,753,621,1050,918,3.7,41.47
718,111,9,Car,607,255,737,361,3.7,15.55
719,111,11,Car,1023,957,1254,1077,3.7,59.9
720,112,2,Car,469,272,662,411,3.7333,13.33
721,112,3,Car,1494,690,1854,1011,3.7333,29.5
722,112,4,Car,757,626,1057,923,3.7333,24.64
723,112,9,Car,609,256,738,361,3.7333,10.41
724,112,11,Car,1017,964,1249,1077,3.7333,34.12
725,113,2,Car,471,272,667,413,3.7667,10.38
726,113,3,Car,1501,696,1873,1025,3.7667,34.01
727,113,4,Car,763,634,1065,931,3.7667,38.04
728,113,9,Car,612,256,740,360,3.7667,13.74
729,113,11,Car,1020,975,1249,1079,3.7667,42.27
730,114,2,Car,474,272,671,415,3.8,14.26
731,114,3,Car,1510,707,1882,1034,3.8,49.52
732,114,4,Car,769,645,1068,937,3.8,46.99
733,114,9,Car,615,256,742,360,3.8,11.97
734,114,11,Car,1032,985,1243,1080,3.8,57.23
735,115,2,Car,479,273,673,414,3.8333,21.55
736,115,3,Car,1517,714,1887,1036,3.8333,37.13
737,115,4,Car,775,654,1070,940,3.8333,39.04
738,115,9,Car,617,256,743,358,3.8333,9.13
739,116,2,Car,484,275,676,415,3.8667,20.62
740,116,3,Car,1524,725,1896,1048,3.8667,47.23
741,116,4,Car,776,661,1078,952,3.8667,28.04
742,116,9,Car,619,256,746,359,3.8667,8.43
743,117,2,Car,488,276,681,417,3.9,15.79
744,117,3,Car,1530,736,1905,1060,3.9,47.82
745,117,4,Car,778,670,1083,961,3.9,33.73
746,117,9,Car,618,256,747,360,3.9,3.33
747,118,2,Car,490,279,682,419,3.9333,14.02
748,118,3,Car,1534,743,1913,1069,3.9333,28.46
749,118,4,Car,777,673,1089,970,3.9333,11.73
750,118,9,Car,620,258,749,360,3.9333,12.56
751,119,2,Car,494,279,688,421,3.9667,15.13
752,119,3,Car,1538,750,1919,1079,3.9667,31.58
753,119,4,Car,786,679,1097,973,3.9667,39.39
754,119,9,Car,621,257,753,361,3.9667,6.42
755,120,2,Car,497,282,690,422,4.0,17.87
756,120,3,Car,1545,753,1926,1082,4.0,30.47
757,120,4,Car,787,688,1104,988,4.0,34.36
758,120,9,Car,621,257,757,364,4.0,0.66
759,121,2,Car,497,282,693,424,4.0333,2.08
760,121,3,Car,1552,758,1927,1083,4.0333,32.14
761,121,4,Car,782,690,1112,1004,4.0333,17.35
762,121,9,Car,620,256,759,365,4.0333,3.64
763,122,2,Car,501,285,696,425,4.0667,21.69
764,122,3,Car,1560,766,1926,1083,4.0667,42.38
765,122,4,Car,781,693,1124,1021,4.0667,12.88
766,122,9,Car,622,256,764,367,4.0667,7.6
767,123,2,Car,505,287,701,427,4.1,16.87
768,123,3,Car,1570,775,1924,1083,4.1,50.29
769,123,4,Car,780,698,1131,1034,4.1,19.64
770,123,9,Car,625,254,770,368,4.1,11.94
771,124,2,Car,502,286,708,434,4.1333,7.67
772,124,3,Car,1577,780,1924,1083,4.1333,30.78
773,124,4,Car,783,704,1134,1040,4.1333,24.81
774,124,9,Car,626,254,772,369,4.1333,7.36
775,125,2,Car,509,288,710,432,4.1667,26.72
776,125,3,Car,1585,789,1920,1082,4.1667,44.01
777,125,4,Car,788,714,1135,1047,4.1667,41.61
778,125,9,Car,628,254,775,370,4.1667,10.31
779,126,2,Car,508,285,720,437,4.2,9.93
780,126,3,Car,1601,807,1916,1082,4.2,87.39
781,126,4,Car,795,724,1142,1060,4.2,45.81
782,126,9,Car,630,253,777,370,4.2,7.22
783,127,2,Car,511,285,723,439,4.2333,11.18
784,127,3,Car,1612,819,1912,1081,4.2333,59.45
785,127,4,Car,799,730,1148,1070,4.2333,27.24
786,127,9,Car,631,253,779,371,4.2333,6.66
787,128,2,Car,513,284,727,441,4.2667,7.74
788,128,3,Car,1619,830,1907,1080,4.2667,47.1
789,128,4,Car,807,739,1152,1073,4.2667,42.48
790,128,9,Car,634,253,783,371,4.2667,12.36
791,129,2,Car,522,289,728,438,4.3,39.49
792,129,3,Car,1627,840,1905,1081,4.3,47.16
793,129,4,Car,812,751,1152,1080,4.3,48.14
794,129,9,Car,637,254,785,372,4.3,12.53
795,130,2,Car,527,294,727,438,4.3333,26.2
796,130,3,Car,1642,852,1908,1081,4.3333,67.36
797,130,4,Car,813,759,1151,1083,4.3333,28.67
798,130,9,Car,636,255,787,374,4.3333,5.59
799,131,2,Car,529,292,734,440,4.3667,11.35
800,131,3,Car,1656,861,1911,1079,4.3667,61.36
801,131,4,Car,818,766,1153,1083,4.3667,30.61
802,131,9,Car,639,256,788,373,4.3667,13.85
803,132,2,Car,532,291,741,443,4.4,11.56
804,132,3,Car,1665,872,1909,1078,4.4,52.65
805,132,4,Car,825,775,1155,1083,4.4,43.69
806,132,9,Car,644,257,790,370,4.4,19.92
807,133,2,Car,532,290,743,444,4.4333,3.23
808,133,3,Car,1675,884,1903,1075,4.4333,57.26
809,133,4,Car,830,783,1156,1083,4.4333,34.64
810,133,9,Car,643,257,790,370,4.4333,1.98
811,134,2,Car,537,300,744,450,4.4667,40.71
812,134,3,Car,1679,894,1902,1076,4.4667,39.36
813,134,4,Car,836,793,1155,1082,4.4667,42.41
814,134,9,Car,644,257,794,372,4.4667,4.69
815,135,2,Car,541,307,744,454,4.5,30.3
816,135,3,Car,1689,904,1900,1077,4.5,52.09
817,135,4,Car,843,805,1157,1082,4.5,52.82
818,135,9,Car,643,255,797,372,4.5,5.03
819,136,2,Car,543,307,749,456,4.5333,10.13
820,136,4,Car,849,814,1160,1081,4.5333,41.75
821,136,9,Car,644,255,800,373,4.5333,5.87
822,137,2,Car,547,308,755,460,4.5667,15.31
823,137,4,Car,859,824,1165,1080,4.5667,51.64
824,137,9,Car,647,255,802,372,4.5667,12.95
825,138,2,Car,548,309,759,462,4.6,7.74
826,138,4,Car,866,838,1164,1081,4.6,56.64
827,138,9,Car,649,256,802,371,4.6,9.13
828,139,2,Car,550,309,764,465,4.6333,7.57
829,139,4,Car,875,850,1163,1079,4.6333,54.52
830,139,9,Car,650,256,806,371,4.6333,4.44
831,140,2,Car,551,310,767,468,4.6667,7.74
832,140,4,Car,881,862,1164,1079,4.6667,51.05
833,140,9,Car,652,258,810,373,4.6667,10.52
834,140,17,Car,447,337,553,363,4.6667,10.52
835,141,2,Car,553,311,770,470,4.7,9.96
836,141,4,Car,887,875,1161,1076,4.7,50.22
837,141,9,Car,650,258,812,374,4.7,4.89
838,141,17,Car,440,335,558,364,4.7,23.95
839,142,2,Car,554,312,771,473,4.7333,9.06
840,142,4,Car,897,885,1158,1078,4.7333,50.7
841,142,9,Car,658,257,817,373,4.7333,28.28
842,142,14,Car,839,886,1213,1075,4.7333,28.28
843,142,17,Car,435,334,562,365,4.7333,16.38
844,143,2,Car,561,315,776,475,4.7667,27.31
845,143,9,Car,661,259,822,375,4.7667,15.55
846,143,14,Car,869,899,1221,1069,4.7667,115.64
847,143,17,Car,438,333,563,364,4.7667,13.57
848,144,2,Car,565,316,779,475,4.8,15.03
849,144,9,Car,666,258,828,375,4.8,18.57
850,144,14,Car,880,907,1227,1068,4.8,50.81
851,144,17,Car,434,331,572,366,4.8,11.94
852,145,2,Car,567,318,782,479,4.8333,13.01
853,145,9,Car,667,259,828,375,4.8333,7.36
854,145,14,Car,883,912,1231,1068,4.8333,21.17
855,145,17,Car,433,330,575,367,4.8333,3.75
856,146,2,Car,571,320,788,483,4.8667,18.15
857,146,9,Car,669,259,833,377,4.8667,9.2
858,146,14,Car,882,920,1236,1073,4.8667,28.63
859,146,17,Car,432,328,581,368,4.8667,3.85
860,147,2,Car,575,322,792,485,4.9,18.64
861,147,9,Car,672,259,838,379,4.9,12.74
862,147,14,Car,908,932,1248,1074,4.9,102.14
863,147,17,Car,431,326,587,369,4.9,5.38
864,148,2,Car,578,323,796,487,4.9333,13.78
865,148,9,Car,672,258,842,381,4.9333,2.74
866,148,14,Car,909,940,1240,1074,4.9333,30.02
867,148,17,Car,432,325,590,369,4.9333,4.23
868,149,2,Car,583,325,801,487,4.9667,20.82
869,149,9,Car,673,258,848,386,4.9667,4.86
870,149,14,Car,915,953,1233,1075,4.9667,53.06
871,149,17,Car,434,324,592,370,4.9667,7.74
872,150,2,Car,584,326,803,490,5.0,6.63
873,150,9,Car,676,258,852,388,5.0,11.14
874,150,14,Car,914,963,1227,1077,5.0,37.45
875,150,17,Car,435,323,593,369,5.0,6.32
876,151,2,Car,587,327,805,491,5.0333,11.31
877,151,9,Car,680,261,851,387,5.0333,20.72
878,151,14,Car,917,971,1222,1077,5.0333,32.55
879,151,17,Car,436,321,593,369,5.0333,6.39
880,152,2,Car,589,328,809,493,5.0667,9.34
881,152,9,Car,685,262,854,388,5.0667,18.43
882,152,14,Car,928,984,1219,1079,5.0667,61.19
883,152,17,Car,438,320,597,370,5.0667,7.5
884,153,2,Car,594,337,808,498,5.1,38.25
885,153,9,Car,688,261,859,389,5.1,12.18
886,153,14,Car,941,992,1209,1080,5.1,56.05
887,153,17,Car,440,319,598,369,5.1,10.24
888,154,2,Car,594,339,812,502,5.1333,8.29
889,154,9,Car,690,261,861,388,5.1333,10.24
890,154,17,Car,443,317,599,369,5.1333,11.77
891,155,2,Car,596,340,817,506,5.1667,9.2
892,155,9,Car,691,261,864,391,5.1667,4.96
893,155,17,Car,446,318,599,369,5.1667,13.57
894,155,20,Car,233,315,321,367,5.1667,13.57
895,156,2,Car,601,342,824,509,5.2,21.34
896,156,9,Car,693,259,869,392,5.2,8.68
897,156,17,Car,447,316,601,370,5.2,7.25
898,156,20,Car,229,311,325,368,5.2,17.6
899,157,2,Car,603,342,828,512,5.2333,9.2
900,157,9,Car,694,259,871,393,5.2333,5.97
901,157,17,Car,449,315,602,370,5.2333,7.39
902,157,20,Car,225,307,331,370,5.2333,15.62
903,158,2,Car,605,344,833,515,5.2667,12.36
904,158,9,Car,697,259,875,395,5.2667,10.93
905,158,17,Car,450,315,602,370,5.2667,6.32
906,158,20,Car,225,306,335,372,5.2667,3.26
907,159,2,Car,608,345,838,519,5.3,12.32
908,159,9,Car,699,257,879,395,5.3,11.04
909,159,17,Car,452,313,605,370,5.3,10.79
910,159,20,Car,226,304,339,373,5.3,7.11
911,160,2,Car,609,346,842,522,5.3333,7.91
912,160,9,Car,702,258,880,395,5.3333,12.7
913,160,17,Car,454,312,606,370,5.3333,9.58
914,160,20,Car,228,303,341,372,5.3333,7.91
915,161,2,Car,610,348,848,528,5.3667,9.34
916,161,9,Car,706,259,882,395,5.3667,15.62
917,161,17,Car,458,313,606,371,5.3667,14.72
918,161,20,Car,228,303,340,371,5.3667,2.92
919,162,2,Car,612,352,850,533,5.4,17.56
920,162,9,Car,710,259,886,396,5.4,14.3
921,162,17,Car,460,311,608,370,5.4,9.96
922,162,20,Car,230,300,344,372,5.4,11.35
923,163,2,Car,615,355,852,536,5.4333,16.0
924,163,9,Car,712,261,888,396,5.4333,12.04
925,163,17,Car,461,310,608,369,5.4333,7.36
926,163,20,Car,233,300,343,370,5.4333,10.9
927,164,2,Car,626,360,853,534,5.4667,44.7
928,164,9,Car,716,261,891,396,5.4667,17.39
929,164,17,Car,462,309,608,369,5.4667,5.21
930,164,20,Car,233,299,345,370,5.4667,1.32
931,165,2,Car,631,364,854,534,5.5,26.1
932,165,9,Car,719,262,895,397,5.5,13.4
933,165,17,Car,463,307,609,368,5.5,7.46
